stop_id,stop_name,zone_id,stop_lat,stop_lon,stop_desc
RgqMpbyP,Charminar,Charminar,17.3586779379233,78.4740276935276,CHARMINAR
ZesADyKB,Shahalibanda,Shahalibanda,17.3547499301873,78.4730243996454,SHALIBANDA twd  Charminar
CSCQevOc,Kilwat,Kilwat,17.3601274663828,78.4713749367239,KILWATH twd Afzalgunj
RcYax5EA,Moosabowli,Moosabowli,17.3642745722327,78.4666682034731,MOOSABOWLY twd CBS
UoDW1Rgg,City College,City College,17.3674526453567,78.468290285547,CITY College twd Afzalgunj
s4V6Ks4J,Madina,Madina,17.3703739526348,78.4755915518183,MADINA twd Afzalgunj
RvkZZP0d,Afzalgunj,Afzalgunj,17.3734,78.4759,AFZALGUNJ twd Nampally
RprCTGDf,Osmangunj,Osmangunj,17.3801592673954,78.4749823530744,OSMANGUNJ twd Nampally
TB1fWaY6,Gandhibavan,Gandhibavan,17.3883456592865,78.4713882267767,GANDHI Bhavan twd Nampally
0Yr3hLAU,Nampally Railway Station,Nampally Railway Station,17.3921594944245,78.4700497866643,NAMPALLY Railway Station twd Ameerpet
48NXpBnL,Nampally Public Garden,Nampally Public Garden,17.396278,78.470819,NAMPALLY PUBLIC GARDEN twd Ameerpet
d2BfiTmX,Assembly,Assembly,17.400243,78.470014,ASSEMBLY twd Miyapur
USn7tbeB,Lakdikapool,Lakdikapool,17.403609,78.464974,LAKDIKAPOOL twd Lingampally
FDukZMjs,Chintal Basthi,Chintal Basthi,17.408898,78.460376,CHINTHAL Basthi twd Patancheru
3UhhD7eG,Khairatabad,Khairatabad,17.4141654370489,78.4586397146155,KHAIRATABAD twd Patancheru
5g4se2Gv,Khairatabad,Khairatabad,17.415785,78.457715,KHAIRATABAD Rto twd Koti
3OS7bBog,Irram Manzil,Irram Manzil,17.4207529745163,78.4556972452341,IRRUM MANZIL TWD Patancheru
fAXfvzII,Nims Hospital,Nims Hospital,17.4230084956761,78.4543890506029,NIMS Hospital twd Patancheruvu
YY5SqKbk,Punjagutta,Punjagutta,17.4263228789209,78.4526288578677,PUNJAGUTTA twd Patancheruvu
DqrzaqZu,Pvr Mall,Pvr Mall,17.429381,78.450406,PVR Mall twd Patancheruvu
8A7oqeuK,Ameerpet,Ameerpet,17.431553,78.44765,AMEERPET twd Patancheru
Z9DjfexL,Maithrivanam,Maithrivanam,17.4400455444335,78.4423641399989,MAITRIVANAM twd Patancheru
OCMZCOeo,Sr Nagar,Sr Nagar,17.4429652533606,78.4407372772693,SR NAGAR twd Patancheru
C5vY3BnB,Esi Hospital,Esi Hospital,17.448534,78.437619,ESI Hospital twd Patancheruvu
zsjaTD5B,Erragadda,Erragadda,17.45617,78.433778,ERRAGADDA twd Patancheruvu
M2X1Ipi9,Bharath Nagar,Bharath Nagar,17.4672320840219,78.4287786531682,BHARATH Nagar twd Patancheru
3DO7lfEx,Moosapet,Moosapet,17.4708131052901,78.4266757867274,MOOSAPET twd Patancheru
lRqEgaCy,Prashanth Nagar,Prashanth Nagar,17.4747639938041,78.4255492638318,PRASHANTH NGR twd JBS
7XcsjLgc,Balnagar,Balnagar,17.4678792576715,78.4460842558063,BALANAGAR twd Jeedimetla
odvoWxTv,Idpl Water Tank,Idpl Water Tank,17.4817254492905,78.4490239615526,IDPL WATER TANK twd jeedimetla
eE6hZh6A,Idpl Colony,Idpl Colony,17.48791105,78.45000699,IDPL Colony twd Jagadgirigutta
m180Kw2G,Ganesh Nagar Chintal,Ganesh Nagar Chintal,17.49089,78.45099,GANESH NAGAR twd Jeedimetla
2mWqvKcq,Chintal,Chintal,17.4954,78.452103,CHINTAL twd Jeedimetla
xmSPBDXm,Quthubullapur Cross Road,Quthubullapur Cross Road,17.4988973901797,78.4517598142825,QUTHBULLAPUR X RD twd jeedimetla
CSMDq4oC,Hmt,Hmt,17.5028457131321,78.4502873428154,HMT twd Gdm
WQorkUId,Gajularam Cross Road,Gajularam Cross Road,17.510098,78.447706,GAJULARAM X Road twd Jeedimetla
G1qKP8Cw,Shapur Nagar,Shapur Nagar,17.5160012189185,78.44690233469,SHAPUR NAGAR twd Jeedimetla
U3va4YT2,Rythu Bazar,Rythu Bazar,17.5176100977818,78.4465912079349,RYTHUBAZAR-JDM twd  jeedimetla
r2e2nKni,Sub Station-Jeedimetla,Sub Station-Jeedimetla,17.522757333829,78.443386182835,JEEDIMETLA Substation twd Jeedimetla
cR5ySdRd,Jeedimetla,Jeedimetla,17.5263603742832,78.4403121683698,JEEDIMETLA twd Gandimysamma
Tv9yBqAe,Saibaba Nagar,Saibaba Nagar,17.536032,78.434701,SAIBABA NAGAR twd Gandimaisamma
R0Cm6Ou4,Suraram Cross Road,Suraram Cross Road,17.5414896115876,78.433754146099,SURARAM X Road twd Bahadurpalle
5E4f69aT,Bahadur Pally Cross Road,Bahadur Pally Cross Road,17.5605816217093,78.4307647277243,BAHADURPALLY X Road twd Gandimaisamma
o9dJvoaR,Gandimaisamma,Gandimaisamma,17.5750752414753,78.4231942875569,GANDIMAISAMMA twd Gagillapur
NUmq3A4e,Mehdipatnam,Mehdipatnam,17.394725176503,78.4401726329458,MEHDIPATNAM
jQUipGEE,Nanal Nagar,Nanal Nagar,17.3951285939056,78.4273423211172,NANAL Nagar X Road twd Langarhouse
JDSxM2WM,Langar House,Langar House,17.37843771,78.4209751,LANGAR House twd Kali Mandir
7guxqq8S,Bapu-Ghat,Bapu-Ghat,17.374015,78.417593,Bapu Ghat twd Sedam
832f0Tns,Tippu Khan Bridge,Tippu Khan Bridge,17.3710263938323,78.4046226919575,TIPU KHAN BRIDGE twd KaliI Mandir
1dz6Of8P,Suncity,Suncity,17.36476225,78.39571808,SUNCITY twd Chevella
iXcFXrHu,Bandlaguda Cross Road,Bandlaguda Cross Road,17.3595680039347,78.3879889547825,BANDLAGUDA X Road twd Moinabad
VHOGEY4R,Peeram Cheru,Peeram Cheru,17.3544984086384,78.3790216386236,PEERAMCHERUVU twd Moinabad
gg1O2ENL,Kalimandir,Kalimandir,17.3523319158945,78.3770152830632,KALIMANDIR twd Moinabad
54suq5uU,Appa Junction,Appa Junction,17.3509353823721,78.358016599364,APPA twd Moinabad
qccftrvg,Golden Farms,Golden Farms,17.3536900829418,78.3421030568725,GOLDEN FARM twd Moinabad
FLnjOddn,Osman Sagar Cross Road,Osman Sagar Cross Road,17.3531014085184,78.3308846424825,OSMAN Sagar X Road twd Moinabad
BAsXhVXt,Aziz Nagar Cross Road,Aziz Nagar Cross Road,17.3441405101479,78.3248162287542,AZIZ Nagar X Road twd Chevella
T8BKEMqk,Himayathnagar Cross Road,Himayathnagar Cross Road,17.3386325066237,78.3119065256401,HIMAYAT Nagar X Road twd Moinabad
